"","Date","Channel","Length","Cost","Impressions","Sales"
"301",2017-07-05 21:00:00,"15",15,676,18200,12
"302",2017-07-05 21:12:00,"12",15,2535,145600,83
"303",2017-07-05 21:22:00,"3",15,3887,54600,12
"304",2017-07-05 21:48:00,"3",15,1555,54600,15
"305",2017-07-05 22:02:00,"6",15,1352,36400,20
"306",2017-07-05 22:10:00,"6",15,1352,36400,26
"307",2017-07-05 22:16:00,"3",15,2332,36400,51
"308",2017-07-05 22:29:00,"7",15,1352,36400,6
"309",2017-07-05 22:44:00,"4",15,676,54600,38
"310",2017-07-05 22:49:00,"3",15,1555,18200,8
"311",2017-07-05 22:51:00,"10",15,47185,455000,135
"312",2017-07-05 23:12:00,"3",15,1555,18200,9
"313",2017-07-05 23:26:00,"9",15,10782,491400,77
"314",2017-07-05 23:43:00,"4",15,2028,36400,20
"315",2017-07-05 00:19:00,"3",15,5408,109200,44
"316",2017-07-05 00:46:00,"15",15,3380,91000,11
"317",2017-07-05 00:51:00,"3",15,8518,145600,24
"318",2017-07-05 01:19:00,"3",15,7740,127400,20
"319",2017-07-06 01:44:00,"15",15,4056,91000,5
"320",2017-07-06 01:46:00,"3",15,9295,109200,17
"321",2017-07-06 01:57:00,"4",15,1352,18200,2
"322",2017-07-06 01:59:00,"15",15,4732,91000,8
"323",2017-07-06 02:16:00,"3",15,12405,127400,26
"324",2017-07-06 02:58:00,"3",15,7740,91000,24
"325",2017-07-06 03:14:00,"15",15,1352,18200,2
"326",2017-07-06 03:22:00,"3",15,5408,54600,8
"327",2017-07-07 07:41:00,"4",15,676,18200,3
"328",2017-07-07 08:57:00,"15",15,676,36400,0
"329",2017-07-07 09:44:00,"4",15,676,18200,11
"330",2017-07-07 10:38:00,"11",15,1453,18200,14
"331",2017-07-07 10:50:00,"13",15,9633,36400,3
"332",2017-07-07 11:04:00,"15",15,676,54600,8
"333",2017-07-07 11:08:00,"11",15,4326,36400,29
"334",2017-07-07 11:31:00,"15",15,2028,18200,24
"335",2017-07-07 12:07:00,"15",15,2028,36400,18
"336",2017-07-07 12:21:00,"4",15,1352,18200,2
"337",2017-07-07 12:46:00,"15",15,2704,54600,20
"338",2017-07-07 13:09:00,"4",15,676,72800,18
"339",2017-07-07 13:17:00,"1",15,1352,18200,18
"340",2017-07-07 13:26:00,"4",15,2028,54600,14
"341",2017-07-07 13:34:00,"1",15,1352,36400,0
"342",2017-07-07 13:34:00,"7",15,676,18200,0
"343",2017-07-07 13:43:00,"4",15,676,72800,6
"344",2017-07-07 13:48:00,"11",15,1453,54600,9
"345",2017-07-07 13:48:00,"15",15,3380,54600,20
"346",2017-07-07 14:01:00,"4",15,1352,72800,18
"347",2017-07-07 14:15:00,"4",15,2704,91000,20
"348",2017-07-07 14:44:00,"7",15,1352,18200,6
"349",2017-07-07 14:51:00,"1",15,1352,36400,2
"350",2017-07-07 15:06:00,"11",15,2163,91000,33
"351",2017-07-07 15:09:00,"1",15,1352,54600,9
"352",2017-07-07 15:19:00,"15",15,4056,72800,5
"353",2017-07-07 15:54:00,"4",15,2704,36400,0
"354",2017-07-07 16:08:00,"10",15,4394,18200,3
"355",2017-07-07 16:10:00,"13",15,1758,54600,3
"356",2017-07-07 16:21:00,"15",15,2028,54600,8
"357",2017-07-07 16:26:00,"6",15,676,36400,2
"358",2017-07-07 16:31:00,"1",15,1352,18200,14
"359",2017-07-07 16:42:00,"11",15,3617,36400,11
"360",2017-07-07 17:09:00,"3",15,777,18200,15
"361",2017-07-07 17:13:00,"15",15,2028,36400,2
"362",2017-07-07 17:18:00,"6",15,2028,18200,18
"363",2017-07-07 17:36:00,"15",15,2028,36400,21
"364",2017-07-07 17:51:00,"15",15,2028,36400,12
"365",2017-07-07 18:02:00,"3",15,777,18200,18
"366",2017-07-07 18:12:00,"11",15,710,18200,21
"367",2017-07-07 18:53:00,"3",15,777,18200,12
"368",2017-07-07 18:55:00,"11",15,5036,54600,6
"369",2017-07-07 19:08:00,"13",15,4394,273000,48
"370",2017-07-07 19:15:00,"12",15,2163,72800,11
"371",2017-07-07 19:17:00,"15",15,2028,54600,26
"372",2017-07-07 19:22:00,"10",15,879,54600,11
"373",2017-07-07 19:22:00,"9",15,3819,145600,47
"374",2017-07-07 19:26:00,"8",15,16765,800800,132
"375",2017-07-07 19:38:00,"3",15,1555,54600,12
"376",2017-07-07 19:57:00,"15",15,2028,18200,12
"377",2017-07-07 20:04:00,"1",15,1352,18200,3
"378",2017-07-07 20:04:00,"3",15,1555,18200,3
"379",2017-07-07 20:11:00,"11",15,20280,364000,111
"380",2017-07-07 20:19:00,"4",15,6084,54600,15
"381",2017-07-07 20:50:00,"3",15,7740,72800,18
"382",2017-07-07 20:50:00,"4",15,4732,72800,11
"383",2017-07-07 21:15:00,"3",15,5408,54600,9
"384",2017-07-07 21:17:00,"15",15,676,18200,26
"385",2017-07-07 21:21:00,"4",15,1352,18200,15
"386",2017-07-07 21:37:00,"10",15,3921,109200,21
"387",2017-07-07 21:50:00,"3",15,3110,36400,15
"388",2017-07-07 21:52:00,"15",15,676,36400,2
"389",2017-07-07 22:16:00,"3",15,3110,36400,2
"390",2017-07-07 22:19:00,"4",15,676,18200,9
"391",2017-07-07 22:22:00,"15",15,2028,54600,2
"392",2017-07-07 22:22:00,"6",15,1352,18200,0
"393",2017-07-07 22:41:00,"3",15,3110,36400,6
"394",2017-07-07 22:43:00,"15",15,2704,18200,2
"395",2017-07-07 22:50:00,"6",15,1352,18200,6
"396",2017-07-07 22:59:00,"15",15,2704,18200,3
"397",2017-07-07 23:01:00,"4",15,2704,91000,24
"398",2017-07-07 23:08:00,"3",15,3110,36400,5
"399",2017-07-07 23:15:00,"10",15,19165,163800,69
"400",2017-07-07 23:20:00,"15",15,4056,36400,23
"401",2017-07-07 23:47:00,"4",15,1352,36400,8
"402",2017-07-07 23:52:00,"3",15,1555,36400,39
"403",2017-07-07 00:05:00,"13",15,29474,691600,170
"404",2017-07-07 00:15:00,"6",15,676,18200,5
"405",2017-07-07 00:26:00,"3",15,2332,36400,5
"406",2017-07-07 00:29:00,"10",15,27378,327600,54
"407",2017-07-07 00:39:00,"15",15,1352,36400,3
"408",2017-07-07 00:42:00,"4",15,676,18200,27
"409",2017-07-07 00:56:00,"9",15,18320,491400,21
"410",2017-07-07 01:15:00,"4",15,676,36400,9
"411",2017-07-07 01:21:00,"15",15,2028,54600,14
"412",2017-07-08 01:47:00,"3",15,777,91000,9
"413",2017-07-08 01:47:00,"4",15,1352,18200,17
"414",2017-07-08 01:57:00,"15",15,2028,36400,17
"415",2017-07-08 02:36:00,"3",15,777,91000,18
"416",2017-07-08 02:39:00,"15",15,5408,54600,5
"417",2017-07-08 02:57:00,"15",15,4056,54600,11
"418",2017-07-08 03:00:00,"4",15,2704,72800,9
"419",2017-07-08 03:04:00,"3",15,1555,54600,15
"420",2017-07-08 08:31:00,"15",15,2028,36400,8
"421",2017-07-08 08:31:00,"4",15,676,18200,3
"422",2017-07-08 08:45:00,"15",15,2028,36400,5
"423",2017-07-08 09:11:00,"4",15,676,18200,9
"424",2017-07-08 09:18:00,"15",15,2028,36400,8
"425",2017-07-08 09:46:00,"4",15,676,18200,14
"426",2017-07-08 10:12:00,"4",15,3380,54600,20
"427",2017-07-08 11:15:00,"7",15,2028,18200,23
"428",2017-07-08 11:18:00,"11",15,5036,145600,113
"429",2017-07-08 11:32:00,"15",15,2028,54600,12
"430",2017-07-08 11:34:00,"13",15,879,18200,26
"431",2017-07-08 11:39:00,"11",15,3617,163800,81
"432",2017-07-08 12:00:00,"13",15,6152,91000,8
"433",2017-07-08 12:02:00,"8",15,6861,200200,62
"434",2017-07-08 12:10:00,"11",15,4326,182000,75
"435",2017-07-08 12:20:00,"4",15,676,54600,9
"436",2017-07-08 12:31:00,"13",15,879,91000,21
"437",2017-07-08 12:37:00,"11",30,7199,182000,72
"438",2017-07-08 13:06:00,"13",15,1758,72800,38
"439",2017-07-08 13:11:00,"11",15,5036,127400,71
"440",2017-07-08 13:11:00,"15",15,4732,72800,68
"441",2017-07-08 13:14:00,"4",15,4056,91000,27
"442",2017-07-08 13:16:00,"1",15,6050,72800,41
"443",2017-07-08 13:21:00,"7",15,2028,18200,14
"444",2017-07-08 13:25:00,"8",15,6118,273000,75
"445",2017-07-08 13:25:00,"12",15,3617,54600,45
"446",2017-07-08 13:34:00,"1",15,5374,54600,11
"447",2017-07-08 13:48:00,"4",15,2028,91000,114
"448",2017-07-08 14:00:00,"11",15,2163,145600,92
"449",2017-07-08 14:08:00,"4",15,2028,109200,38
"450",2017-07-08 14:15:00,"7",15,676,18200,2
"451",2017-07-08 14:19:00,"11",15,2163,163800,29
"452",2017-07-08 14:19:00,"1",15,1352,18200,18
"453",2017-07-08 14:21:00,"4",15,2704,109200,50
"454",2017-07-08 14:39:00,"8",15,7639,418600,81
"455",2017-07-08 14:52:00,"1",15,1352,18200,57
"456",2017-07-08 14:41:00,"4",15,1352,54600,48
"457",2017-07-08 14:39:00,"1",15,1352,18200,15
"458",2017-07-08 15:04:00,"4",15,676,54600,50
"459",2017-07-08 15:19:00,"11",15,2163,91000,36
"460",2017-07-08 15:21:00,"15",15,676,54600,65
"461",2017-07-08 15:31:00,"4",15,4056,72800,60
"462",2017-07-08 16:00:00,"4",15,4732,72800,32
"463",2017-07-08 16:31:00,"1",15,2704,54600,12
"464",2017-07-08 16:41:00,"11",15,2163,36400,54
"465",2017-07-08 16:44:00,"3",15,1555,18200,39
